date,route_id,trade_volume_tonnes,shipping_delay_days,freight_cost_usd,container_availability_index,port_congestion_index,fuel_cost_index,commodity_price_index,weather_disruption_score,geopolitical_risk_score,route_status,carbon_emissions_tonnes
2015-05-17,R00001,7632.47,6.3,4418.39,64.75,12.3,52.94,47.16,91.6,70.49,Delayed,3337.68
2015-05-24,R00001,11382.54,0.0,4508.32,96.57,24.62,67.33,47.22,0.96,6.86,Normal,4977.59
2015-05-31,R00001,9498.04,2.85,4438.37,80.58,0.03,58.87,42.81,13.76,38.84,Normal,4153.49
2015-06-07,R00001,6767.1,8.29,4569.34,57.41,4.67,60.34,59.33,29.45,85.18,Delayed,2959.25
2015-06-14,R00001,9463.41,2.8,4347.62,80.29,6.75,52.88,46.65,42.2,39.43,Normal,4138.35
2015-06-21,R00001,6510.53,10.55,4568.51,55.23,0.78,57.28,77.64,88.61,89.53,Delayed,2847.05
2015-06-28,R00001,7444.46,4.8,4502.71,63.16,17.17,60.55,50.83,64.86,73.68,Normal,3255.46
2015-07-05,R00001,8376.2,5.92,4430.45,71.06,45.64,54.25,42.08,15.56,57.87,Delayed,3662.91
2015-07-12,R00001,8788.25,11.71,4660.81,74.56,99.45,61.88,35.65,95.48,50.88,Delayed,3843.1
2015-07-19,R00001,6744.24,0.0,4353.35,57.22,2.83,57.0,47.89,5.15,85.56,Normal,2949.26
2015-07-26,R00001,11357.84,2.48,4426.16,96.36,28.18,58.54,30.29,28.45,7.28,Normal,4966.78
2015-08-02,R00001,9516.77,5.86,4470.5,80.74,64.48,56.99,36.77,30.3,38.52,Delayed,4161.68
2015-08-09,R00001,9131.88,6.52,4667.74,77.47,11.42,69.26,57.96,86.4,45.05,Delayed,3993.37
2015-08-16,R00001,10921.43,0.29,4403.18,92.66,89.5,59.93,57.16,4.14,14.69,Normal,4775.94
2015-08-23,R00001,7982.1,6.1,4441.06,67.72,74.03,54.71,47.38,60.01,64.56,Delayed,3490.57
2015-08-30,R00001,10918.37,0.39,4467.82,92.63,78.59,64.11,35.78,0.12,14.74,Normal,4774.6
2015-09-06,R00001,8709.65,7.06,4448.0,73.89,50.21,53.9,42.84,92.79,52.22,Delayed,3808.73
2015-09-13,R00001,10378.29,5.52,4524.53,88.05,89.74,61.04,26.61,7.61,23.9,Delayed,4538.43
2015-09-20,R00001,10253.9,4.49,4341.22,86.99,71.85,50.2,14.86,11.39,26.01,Normal,4484.03
2015-09-27,R00001,6292.88,5.64,4411.66,53.39,41.82,53.36,29.81,41.98,93.22,Delayed,2751.88
2015-10-04,R00001,10879.17,3.79,4488.94,92.3,74.58,60.98,50.64,46.13,15.4,Normal,4757.46
2015-10-11,R00001,10957.16,7.7,4607.83,92.96,51.27,63.69,57.0,78.45,14.08,Delayed,4791.57
2015-10-18,R00001,10718.96,9.05,4592.33,90.94,75.48,60.86,58.88,62.24,18.12,Delayed,4687.4
2015-10-25,R00001,8661.61,11.52,4620.03,73.48,88.73,59.42,19.27,69.75,53.03,Delayed,3787.72
2015-11-01,R00001,6755.22,6.01,4496.01,57.31,34.09,58.49,50.8,14.62,85.38,Delayed,2954.06
2015-11-08,R00001,10302.62,8.7,4461.59,87.41,84.04,52.61,51.53,49.98,25.19,Delayed,4505.33
2015-11-15,R00001,9960.82,4.9,4442.5,84.51,89.48,56.4,41.53,16.35,30.99,Normal,4355.87
2015-11-22,R00001,9102.01,9.74,4558.6,77.22,82.77,57.7,43.13,97.27,45.56,Delayed,3980.31
2015-11-29,R00001,5964.25,13.26,4742.88,50.6,51.81,65.29,36.71,85.32,98.8,Disrupted,2608.17
2015-12-06,R00001,10339.24,3.65,4497.09,87.72,67.65,61.72,35.91,13.35,24.57,Normal,4521.35
2015-12-13,R00001,9266.21,1.07,4287.52,78.61,4.63,51.18,39.71,36.75,42.77,Normal,4052.11
2015-12-20,R00001,10008.25,6.72,4557.21,84.91,46.69,61.62,40.64,95.19,30.18,Delayed,4376.61
2015-12-27,R00001,10469.13,6.57,4500.82,88.82,78.3,58.07,59.3,28.71,22.36,Delayed,4578.15
2016-01-03,R00001,9460.43,5.11,4449.76,80.26,32.43,56.62,34.76,24.77,39.48,Delayed,4137.05
2016-01-10,R00001,11518.49,10.95,4663.24,97.72,71.72,63.06,54.19,74.37,4.56,Delayed,5037.04
2016-01-17,R00001,8264.67,3.7,4549.72,70.12,21.52,65.15,55.5,13.39,59.77,Normal,3614.14
2016-01-24,R00001,6337.09,10.08,4669.91,53.76,17.29,64.66,49.9,96.37,92.47,Delayed,2771.21
2016-01-31,R00001,10571.1,2.77,4390.91,89.68,38.9,55.8,46.39,80.1,20.63,Normal,4622.74
2016-02-07,R00001,7259.68,7.11,4517.41,61.59,57.48,58.45,43.0,56.12,76.82,Delayed,3174.66
2016-02-14,R00001,6414.49,5.32,4529.62,54.42,34.51,61.66,35.91,52.79,91.16,Delayed,2805.06
2016-02-21,R00001,11068.25,1.21,4495.86,93.9,22.08,64.88,66.42,12.04,12.2,Normal,4840.15
2016-02-28,R00001,9685.44,5.68,4476.04,82.17,34.97,57.6,49.62,45.89,35.66,Delayed,4235.44
2016-03-06,R00001,10798.99,4.98,4484.1,91.62,98.23,59.07,43.42,60.78,16.76,Normal,4722.4
2016-03-13,R00001,11354.89,1.23,4340.08,96.33,3.39,54.47,40.42,83.4,7.33,Normal,4965.5
2016-03-20,R00001,7878.75,7.6,4460.63,66.84,0.28,54.02,37.86,23.05,66.31,Delayed,3445.38
2016-03-27,R00001,6057.2,4.41,4547.54,51.39,17.08,64.06,49.9,44.08,97.22,Normal,2648.81
2016-04-03,R00001,10179.48,2.23,4544.74,86.36,27.72,66.78,52.49,51.03,27.28,Normal,4451.49
2016-04-10,R00001,8218.68,7.51,4543.27,69.73,26.11,59.64,38.91,96.63,60.55,Delayed,3594.03
2016-04-17,R00001,7659.89,5.72,4588.12,64.99,33.09,65.02,43.39,49.16,70.03,Delayed,3349.67
2016-04-24,R00001,9805.26,7.87,4583.02,83.19,60.03,61.81,52.65,62.58,33.63,Delayed,4287.84
2016-05-01,R00001,8585.53,4.97,4449.36,72.84,27.22,56.77,42.81,54.4,54.32,Normal,3754.45
2016-05-08,R00001,10123.99,3.65,4498.55,85.89,18.53,61.81,67.51,26.68,28.22,Normal,4427.22
2016-05-15,R00001,8850.29,11.31,4739.92,75.09,90.79,67.69,41.5,16.45,49.83,Delayed,3870.23
2016-05-22,R00001,6143.62,8.31,4561.87,52.12,33.07,59.82,50.96,79.37,95.76,Delayed,2686.61
2016-05-29,R00001,9249.68,11.4,4743.74,78.47,71.75,67.82,57.92,90.23,43.05,Delayed,4044.89
2016-06-05,R00001,10274.9,6.52,4332.25,87.17,29.85,46.9,24.57,97.41,25.66,Delayed,4493.21
2016-06-12,R00001,10737.73,4.23,4544.56,91.1,23.18,64.11,60.32,34.55,17.8,Normal,4695.61
2016-06-19,R00001,10930.39,0.0,4404.93,92.73,12.55,60.44,32.68,31.35,14.53,Normal,4779.86
2016-06-26,R00001,10839.0,3.4,4443.94,91.96,46.55,58.5,50.58,96.02,16.09,Normal,4739.89
2016-07-03,R00001,10916.32,4.17,4488.6,92.61,73.24,60.46,36.68,8.84,14.77,Normal,4773.7
2016-07-10,R00001,10614.62,6.53,4379.94,90.05,68.43,50.06,66.1,40.17,19.89,Delayed,4641.77
2016-07-17,R00001,6614.4,8.88,4559.56,56.12,3.34,58.9,49.07,38.23,87.77,Delayed,2892.48
2016-07-24,R00001,9572.54,6.83,4561.71,81.21,65.28,61.79,60.83,91.69,37.57,Delayed,4186.07
2016-07-31,R00001,8443.54,4.16,4592.51,71.63,36.03,67.39,36.39,61.95,56.73,Normal,3692.36
2016-08-07,R00001,10666.39,5.22,4464.02,90.49,49.64,57.41,48.5,78.01,19.01,Delayed,4664.41
2016-08-14,R00001,8493.56,7.89,4495.62,72.06,85.32,55.96,36.93,89.18,55.88,Delayed,3714.23
2016-08-21,R00001,7358.12,6.87,4498.2,62.43,87.12,57.49,43.48,83.19,75.15,Delayed,3217.71
2016-08-28,R00001,11579.57,4.17,4550.44,98.24,16.19,64.58,56.07,47.24,3.52,Normal,5063.75
2016-09-04,R00001,6898.01,3.93,4501.57,58.52,18.65,61.64,49.3,81.06,82.96,Normal,3016.5
2016-09-11,R00001,7294.49,9.5,4548.68,61.89,56.98,57.35,41.53,62.53,76.23,Delayed,3189.88
2016-09-18,R00001,8113.26,1.92,4475.3,68.83,17.95,62.57,54.54,24.04,62.34,Normal,3547.93
2016-09-25,R00001,8754.88,7.68,4559.31,74.28,71.44,60.49,54.44,26.93,51.45,Delayed,3828.51
2016-10-02,R00001,9430.09,3.4,4539.09,80.0,6.67,64.84,57.64,13.82,39.99,Normal,4123.78
2016-10-09,R00001,11581.94,2.59,4397.57,98.26,88.62,56.49,44.6,71.67,3.48,Normal,5064.78
2016-10-16,R00001,9702.31,4.1,4455.79,82.31,9.71,58.36,27.96,1.77,35.37,Normal,4242.82
2016-10-23,R00001,10184.1,5.3,4475.01,86.4,15.48,58.04,49.27,95.38,27.2,Delayed,4453.51
2016-10-30,R00001,9217.24,5.98,4408.27,78.2,61.59,52.68,33.58,26.22,43.6,Delayed,4030.7
2016-11-06,R00001,5912.5,8.15,4583.55,50.16,0.8,61.48,23.9,85.83,99.68,Delayed,2585.53
2016-11-13,R00001,10014.39,4.66,4511.18,84.96,54.98,61.31,52.14,69.74,30.08,Normal,4379.29
2016-11-20,R00001,10014.82,5.12,4501.26,84.96,43.04,60.03,42.65,85.54,30.07,Delayed,4379.48
2016-11-27,R00001,9224.03,4.73,4475.47,78.26,25.28,58.83,33.96,20.5,43.49,Normal,4033.67
2016-12-04,R00001,8250.01,6.39,4420.08,69.99,99.18,52.92,33.13,2.03,60.02,Delayed,3607.73
2016-12-11,R00001,8289.46,5.61,4479.03,70.33,83.38,57.9,52.4,3.44,59.35,Delayed,3624.98
2016-12-18,R00001,7445.03,6.25,4497.65,63.16,97.01,58.29,25.3,21.51,73.67,Delayed,3255.71
2016-12-25,R00001,8288.9,8.56,4509.46,70.32,66.8,55.99,10.48,31.34,59.36,Delayed,3624.74
2017-01-01,R00001,10841.68,6.92,4524.62,91.98,87.88,59.19,44.09,64.73,16.04,Delayed,4741.07
2017-01-08,R00001,6455.08,5.91,4546.9,54.76,40.29,62.02,58.66,50.02,90.47,Delayed,2822.8
2017-01-15,R00001,9627.45,8.31,4706.08,81.68,56.73,69.43,60.64,55.84,36.64,Delayed,4210.08
2017-01-22,R00001,9872.55,4.81,4507.72,83.76,19.19,60.87,35.46,44.75,32.48,Normal,4317.27
2017-01-29,R00001,10875.77,2.58,4469.39,92.27,56.49,61.29,57.06,34.61,15.46,Normal,4755.98
2017-02-05,R00001,9789.49,6.75,4527.87,83.05,94.74,59.63,55.94,49.65,33.89,Delayed,4280.95
2017-02-12,R00001,8046.22,0.88,4272.15,68.26,60.88,50.41,41.09,4.97,63.47,Normal,3518.61
2017-02-19,R00001,7819.72,9.27,4581.88,66.34,93.84,59.87,53.16,89.27,67.32,Delayed,3419.56
2017-02-26,R00001,10012.83,3.05,4463.96,84.95,6.75,60.3,60.86,50.12,30.1,Normal,4378.61
2017-03-05,R00001,6409.94,10.75,4798.13,54.38,86.7,72.32,65.02,84.34,91.24,Delayed,2803.07
2017-03-12,R00001,8970.93,7.89,4541.84,76.11,71.05,59.04,46.04,74.18,47.78,Delayed,3922.99
2017-03-19,R00001,9485.84,6.71,4555.24,80.48,58.49,61.51,47.76,2.96,39.05,Delayed,4148.16
2017-03-26,R00001,8859.12,3.62,4468.2,75.16,44.07,59.83,45.37,52.13,49.68,Normal,3874.09
2017-04-02,R00001,6960.31,7.12,4453.2,59.05,93.71,54.16,47.09,25.01,81.9,Delayed,3043.74
2017-04-09,R00001,7208.34,3.92,4562.47,61.16,0.87,65.71,54.6,1.34,77.69,Normal,3152.21
2017-04-16,R00001,7858.19,6.62,4587.24,66.67,27.58,63.76,55.85,43.31,66.66,Delayed,3436.39
2017-04-23,R00001,8950.02,6.44,4586.47,75.93,16.75,63.96,46.68,47.16,48.14,Delayed,3913.84
2017-04-30,R00001,9858.88,6.6,4462.18,83.64,70.12,55.45,16.52,77.16,32.72,Delayed,4311.29
2017-05-07,R00001,9767.02,8.91,4681.73,82.86,86.47,67.01,59.3,13.96,34.27,Delayed,4271.12
2017-05-14,R00001,7239.31,11.11,4515.55,61.42,17.17,52.99,33.64,92.81,77.16,Delayed,3165.75
2017-05-21,R00001,6862.16,4.92,4540.89,58.22,17.48,62.93,30.35,46.26,83.56,Normal,3000.82
2017-05-28,R00001,7866.38,8.99,4742.45,66.74,64.38,70.95,46.71,61.04,66.52,Delayed,3439.97
2017-06-04,R00001,11198.46,4.24,4409.01,95.01,59.83,55.05,23.48,12.01,9.99,Normal,4897.08
2017-06-11,R00001,9326.34,6.87,4493.37,79.12,77.83,57.17,62.36,29.85,41.75,Delayed,4078.41
2017-06-18,R00001,10082.95,7.9,4563.85,85.54,68.63,60.5,46.07,79.77,28.91,Delayed,4409.27
2017-06-25,R00001,8499.23,8.0,4520.56,72.11,51.05,57.48,44.6,34.94,55.79,Delayed,3716.71
2017-07-02,R00001,11245.86,4.53,4372.74,95.41,97.22,52.25,65.37,8.61,9.18,Normal,4917.82
2017-07-09,R00001,9458.42,9.28,4589.21,80.24,26.09,60.34,56.71,75.99,39.51,Delayed,4136.17
2017-07-16,R00001,6766.7,6.54,4449.61,57.41,12.07,54.69,31.79,52.55,85.18,Delayed,2959.08
2017-07-23,R00001,7728.33,7.36,4581.16,65.57,59.41,62.37,56.71,37.68,68.87,Delayed,3379.6
2017-07-30,R00001,7279.49,9.9,4527.42,61.76,37.29,55.4,31.92,86.86,76.48,Delayed,3183.32
2017-08-06,R00001,9548.6,3.96,4593.78,81.01,66.17,67.75,58.98,46.67,37.98,Normal,4175.6
2017-08-13,R00001,6511.71,9.47,4529.03,55.24,48.6,56.08,65.53,29.43,89.51,Delayed,2847.57
2017-08-20,R00001,10049.93,10.07,4575.68,85.26,72.91,58.39,34.76,71.99,29.47,Delayed,4394.83
2017-08-27,R00001,10915.72,7.44,4608.26,92.61,50.91,64.07,52.81,23.27,14.78,Delayed,4773.45
2017-09-03,R00001,6116.55,4.78,4401.63,51.89,11.11,53.85,16.39,0.74,96.22,Normal,2674.77
2017-09-10,R00001,8309.64,6.96,4554.75,70.5,41.79,61.14,53.61,92.79,59.0,Delayed,3633.81
2017-09-17,R00001,9398.41,6.38,4624.02,79.74,85.6,66.54,48.69,79.29,40.53,Delayed,4109.92
2017-09-24,R00001,7556.04,5.73,4392.41,64.1,68.17,51.96,29.39,31.11,71.79,Delayed,3304.26
2017-10-01,R00001,10088.85,2.06,4453.38,85.59,44.44,60.92,50.22,9.28,28.81,Normal,4411.86
2017-10-08,R00001,6620.66,11.01,4638.18,56.17,40.39,61.3,52.84,92.51,87.66,Delayed,2895.21
2017-10-15,R00001,8917.14,3.12,4519.41,75.65,3.24,63.91,39.46,45.45,48.7,Normal,3899.47
2017-10-22,R00001,7753.74,7.44,4454.35,65.78,30.74,53.82,35.37,22.68,68.44,Delayed,3390.71
2017-10-29,R00001,6697.75,10.51,4509.54,56.82,69.1,53.4,50.26,93.6,86.35,Delayed,2928.93
2017-11-05,R00001,9824.65,5.02,4537.96,83.35,7.93,62.61,59.78,19.51,33.3,Delayed,4296.32
2017-11-12,R00001,9283.6,3.77,4495.98,78.76,29.69,61.48,57.19,84.04,42.48,Normal,4059.72
2017-11-19,R00001,10523.38,0.21,4421.47,89.28,41.27,61.25,45.21,10.5,21.44,Normal,4601.88
2017-11-26,R00001,9790.82,3.09,4486.25,83.06,0.41,61.73,53.13,80.87,33.87,Normal,4281.53
2017-12-03,R00001,7236.23,9.24,4532.16,61.39,67.9,56.6,45.88,96.92,77.22,Delayed,3164.4
2017-12-10,R00001,7940.27,7.04,4556.65,67.36,41.07,61.16,45.97,6.59,65.27,Delayed,3472.28
2017-12-17,R00001,6921.89,7.05,4561.41,58.72,44.83,61.47,45.59,37.08,82.55,Delayed,3026.94
2017-12-24,R00001,9159.5,4.67,4438.16,77.71,29.92,56.43,49.68,48.84,44.58,Normal,4005.45
2017-12-31,R00001,8880.78,4.22,4622.74,75.34,92.39,69.33,53.16,40.18,49.31,Normal,3883.57
2018-01-07,R00001,11626.65,1.17,4457.4,98.64,29.95,62.37,53.9,4.63,2.72,Normal,5084.33
2018-01-14,R00001,6416.88,8.92,4487.55,54.44,20.43,54.04,58.15,82.68,91.12,Delayed,2806.1
2018-01-21,R00001,7211.6,11.95,4686.71,61.18,87.79,63.28,49.84,86.25,77.63,Delayed,3153.63
2018-01-28,R00001,6967.64,9.23,4509.9,59.11,95.0,55.13,51.92,50.79,81.77,Delayed,3046.95
2018-02-04,R00001,9550.21,3.87,4534.84,81.02,52.94,63.94,47.16,53.97,37.95,Normal,4176.31
2018-02-11,R00001,7925.39,8.48,4654.95,67.24,9.3,65.79,48.15,53.16,65.52,Delayed,3465.77
2018-02-18,R00001,9720.09,4.61,4429.01,82.46,11.28,55.9,27.32,69.34,35.07,Normal,4250.6
2018-02-25,R00001,8445.97,6.59,4602.38,71.65,33.69,64.82,55.18,73.62,56.69,Delayed,3693.42
2018-03-04,R00001,11094.74,1.74,4464.06,94.13,33.01,62.06,57.76,73.84,11.75,Normal,4851.73
2018-03-11,R00001,7116.12,3.9,4538.0,60.37,64.44,64.11,50.45,31.58,79.25,Normal,3111.88
2018-03-18,R00001,7727.59,8.69,4714.4,65.56,53.42,69.48,61.25,92.75,68.88,Delayed,3379.28
2018-03-25,R00001,8563.62,4.61,4472.2,72.65,24.21,58.77,42.97,47.24,54.69,Normal,3744.87
2018-04-01,R00001,6267.52,9.37,4529.21,53.17,4.24,56.23,50.1,66.87,93.65,Delayed,2740.78
2018-04-08,R00001,8849.77,6.62,4464.04,75.08,38.63,55.55,28.69,96.99,49.84,Delayed,3870.01
2018-04-15,R00001,9773.74,5.41,4445.49,82.92,62.7,55.92,32.59,60.21,34.16,Delayed,4274.06
2018-04-22,R00001,6248.33,8.37,4560.11,53.01,50.62,59.61,47.32,37.4,93.98,Delayed,2732.4
2018-04-29,R00001,9446.03,1.7,4457.96,80.14,45.83,61.71,26.13,5.82,39.72,Normal,4130.75
2018-05-06,R00001,9134.36,2.71,4473.36,77.5,16.4,61.38,58.12,16.42,45.01,Normal,3994.45
2018-05-13,R00001,8641.68,2.7,4514.54,73.32,29.73,64.14,36.93,7.12,53.37,Normal,3779.01
2018-05-20,R00001,9795.93,3.42,4467.77,83.11,83.04,60.07,42.01,74.39,33.78,Normal,4283.76
2018-05-27,R00001,6880.99,11.53,4738.06,58.38,77.57,67.27,39.23,89.81,83.24,Delayed,3009.06
2018-06-03,R00001,7957.57,6.01,4498.83,67.51,87.35,58.68,37.0,29.23,64.98,Delayed,3479.84
2018-06-10,R00001,8396.98,7.59,4754.2,71.24,40.82,73.6,68.75,24.5,57.52,Delayed,3672.0
2018-06-17,R00001,7668.24,9.8,4641.23,65.06,49.8,63.13,60.8,66.6,69.89,Delayed,3353.32
2018-06-24,R00001,7274.06,8.97,4513.6,61.71,44.63,55.71,36.96,25.11,76.57,Delayed,3180.95
2018-07-01,R00001,5971.35,9.01,4498.3,50.66,50.12,54.65,55.34,88.7,98.68,Delayed,2611.27
2018-07-08,R00001,9285.34,4.55,4525.62,78.78,50.87,62.41,35.59,46.08,42.45,Normal,4060.48
2018-07-15,R00001,9900.1,6.18,4505.18,83.99,48.73,58.88,48.82,43.04,32.02,Delayed,4329.31
2018-07-22,R00001,6271.61,8.62,4624.39,53.21,40.39,63.57,59.23,36.5,93.58,Delayed,2742.57
2018-07-29,R00001,7999.84,11.55,4664.83,67.87,94.26,62.37,54.57,97.29,64.26,Delayed,3498.33
2018-08-05,R00001,9950.18,4.41,4481.23,84.42,90.82,59.64,45.24,58.91,31.17,Normal,4351.21
2018-08-12,R00001,10354.02,5.17,4438.39,87.84,26.58,55.77,42.36,20.07,24.31,Delayed,4527.81
2018-08-19,R00001,9764.99,4.75,4379.81,82.85,17.64,52.43,35.5,36.81,34.31,Normal,4270.23
2018-08-26,R00001,8546.76,7.95,4523.92,72.51,66.45,57.77,56.84,54.66,54.98,Delayed,3737.5
2018-09-02,R00001,6085.72,7.84,4619.4,51.63,45.9,64.28,64.19,43.78,96.74,Delayed,2661.28
2018-09-09,R00001,10710.31,6.85,4551.53,90.87,80.63,61.07,63.83,86.84,18.27,Delayed,4683.62
2018-09-16,R00001,10773.0,8.01,4465.16,91.4,99.09,53.77,41.25,20.94,17.21,Delayed,4711.03
2018-09-23,R00001,9206.13,6.16,4534.52,78.1,0.05,60.87,45.08,92.19,43.79,Delayed,4025.84
2018-09-30,R00001,7385.28,7.46,4576.6,62.66,77.91,61.93,68.72,63.12,74.69,Delayed,3229.58
2018-10-07,R00001,9886.21,2.3,4378.06,83.87,38.84,55.58,54.82,3.24,32.25,Normal,4323.24
2018-10-14,R00001,10440.7,7.86,4567.13,88.58,1.68,60.77,48.66,89.1,22.84,Delayed,4565.72
2018-10-21,R00001,8641.01,4.76,4497.99,73.31,50.84,60.29,58.85,69.5,53.38,Normal,3778.71
2018-10-28,R00001,9027.02,3.51,4382.79,76.58,29.45,54.29,70.06,16.62,46.83,Normal,3947.51
2018-11-04,R00001,6495.84,8.44,4594.08,55.11,44.68,61.79,57.99,82.41,89.78,Delayed,2840.63
2018-11-11,R00001,11256.39,1.54,4471.31,95.5,51.0,62.8,59.39,7.05,9.0,Normal,4922.42
2018-11-18,R00001,8985.27,2.63,4532.27,76.23,3.98,65.42,53.87,79.57,47.54,Normal,3929.26
2018-11-25,R00001,10620.28,3.87,4554.86,90.1,38.61,65.27,46.26,58.69,19.8,Normal,4644.25
2018-12-02,R00001,11715.38,2.06,4336.25,99.39,66.07,53.11,25.78,82.66,1.22,Normal,5123.13
2018-12-09,R00001,8182.45,9.19,4511.91,69.42,72.56,55.31,36.71,91.51,61.16,Delayed,3578.18
2018-12-16,R00001,10937.15,8.58,4608.56,92.79,93.06,62.58,40.29,8.91,14.42,Delayed,4782.82
2018-12-23,R00001,6863.92,8.4,4604.91,58.23,88.25,62.57,49.33,49.48,83.53,Delayed,3001.59
2018-12-30,R00001,11479.34,5.14,4539.76,97.39,61.76,62.58,47.96,13.54,5.22,Delayed,5019.92
2019-01-06,R00001,7940.3,9.42,4875.77,67.36,78.66,79.26,40.93,34.45,65.27,Delayed,3472.29
2019-01-13,R00001,11143.78,1.71,4475.36,94.54,45.53,62.85,54.5,50.41,10.91,Normal,4873.18
2019-01-20,R00001,10074.76,6.35,4610.5,85.47,59.47,65.68,39.39,65.6,29.05,Delayed,4405.69
2019-01-27,R00001,8766.65,4.05,4551.01,74.38,47.61,64.77,60.45,24.7,51.25,Normal,3833.66
2019-02-03,R00001,9464.27,6.7,4581.22,80.29,34.33,63.26,60.54,40.34,39.41,Delayed,4138.73
2019-02-10,R00001,9657.43,9.27,4560.13,81.93,55.75,58.42,51.79,56.71,36.13,Delayed,4223.19
2019-02-17,R00001,11327.68,6.91,4593.52,96.1,45.24,63.79,51.34,52.69,7.79,Delayed,4953.59
2019-02-24,R00001,10517.97,6.7,4474.36,89.23,71.27,56.14,44.09,54.13,21.53,Delayed,4599.51
2019-03-03,R00001,10340.73,5.52,4491.05,87.73,16.3,58.82,45.72,23.75,24.54,Delayed,4522.0
2019-03-10,R00001,7760.42,11.15,4585.03,65.84,25.05,57.57,48.82,75.91,68.32,Delayed,3393.63
2019-03-17,R00001,8622.73,13.15,4667.63,73.15,87.47,60.41,47.22,85.26,53.69,Disrupted,3770.72
2019-03-24,R00001,6196.03,5.86,4689.24,52.57,16.12,71.57,56.71,6.53,94.87,Delayed,2709.52
2019-03-31,R00001,6367.9,6.68,4391.91,54.02,11.4,50.66,52.97,54.04,91.95,Delayed,2784.68
2019-04-07,R00001,9495.25,10.86,4667.06,80.56,61.54,63.43,49.71,92.81,38.89,Delayed,4152.27
2019-04-14,R00001,11391.28,8.14,4440.32,96.64,73.34,51.94,41.37,62.21,6.71,Delayed,4981.41
2019-04-21,R00001,9726.09,1.09,4384.79,82.52,28.28,57.64,26.68,10.25,34.97,Normal,4253.22
2019-04-28,R00001,9691.94,5.32,4586.4,82.23,18.53,65.44,54.7,54.1,35.55,Delayed,4238.29
2019-05-05,R00001,6169.88,11.7,4637.16,52.34,89.57,60.32,36.39,93.55,95.31,Delayed,2698.09
2019-05-12,R00001,6020.51,13.4,4585.48,51.08,7.97,54.61,60.93,84.89,97.84,Disrupted,2632.77
2019-05-19,R00001,7493.76,9.63,4537.43,63.58,67.58,56.42,52.04,46.24,72.85,Delayed,3277.02
2019-05-26,R00001,9251.0,5.84,4566.15,78.48,53.23,63.4,41.6,28.82,43.03,Delayed,4045.46
2019-06-02,R00001,6524.93,14.74,4638.4,55.36,39.51,56.35,51.6,70.41,89.29,Disrupted,2853.35
2019-06-09,R00001,8778.95,5.11,4516.91,74.48,62.26,61.08,47.67,49.34,51.04,Delayed,3839.03
2019-06-16,R00001,11707.87,7.04,4542.7,99.33,13.11,60.23,36.87,93.74,1.34,Delayed,5119.85
2019-06-23,R00001,10712.75,7.29,4495.37,90.89,96.27,56.74,53.23,64.82,18.23,Delayed,4684.69
2019-06-30,R00001,6411.75,5.83,4675.85,54.4,81.59,70.72,57.32,69.4,91.21,Delayed,2803.86
