event_id,date,event_type,severity,affected_region,duration_days,risk_increase
E000029,2024-08-11 00:00:00,War,8,South America,129,27.77
E000030,2023-01-10 00:00:00,Maritime Conflict,2,Middle East,204,10.53
E000031,2016-08-31 00:00:00,Maritime Conflict,9,North America,130,48.9
E000032,2022-09-12 00:00:00,Port Strike,4,Middle East,352,13.58
E000033,2019-10-01 00:00:00,Border Conflict,4,Europe,134,21.4
E000034,2019-12-08 00:00:00,Diplomatic Crisis,9,Middle East,157,26.23
E000035,2016-09-15 00:00:00,War,9,Europe,66,53.87
E000036,2025-03-12 00:00:00,Border Conflict,5,Asia,43,15.58
E000037,2019-08-10 00:00:00,Maritime Conflict,3,Asia,158,13.7
E000038,2019-07-07 00:00:00,Political Unrest,8,South America,110,16.29
E000039,2022-01-01 00:00:00,Terrorism,9,North America,105,28.22
E000040,2025-05-05 00:00:00,Terrorism,6,Africa,169,29.09
E000041,2018-07-24 00:00:00,Port Strike,4,Asia,141,12.93
E000042,2022-06-28 00:00:00,Maritime Conflict,3,South America,28,10.72
E000043,2021-10-21 00:00:00,Trade Sanction,8,North America,289,32.08
E000044,2017-08-17 00:00:00,Port Strike,1,Africa,323,2.1
E000045,2023-07-18 00:00:00,Cyber Attack,1,South America,178,3.48
E000046,2017-11-26 00:00:00,War,8,South America,355,46.93
E000047,2023-09-06 00:00:00,Cyber Attack,1,Asia,122,3.27
E000048,2015-05-08 00:00:00,Diplomatic Crisis,2,South America,287,9.57
E000049,2020-03-10 00:00:00,Maritime Conflict,8,Europe,120,24.13
E000050,2021-12-12 00:00:00,Export Restriction,2,Asia,279,5.09
E000051,2026-11-20 00:00:00,Border Conflict,7,Europe,176,36.68
E000052,2021-09-21 00:00:00,Political Unrest,10,North America,319,27.77
E000053,2025-07-14 00:00:00,Trade Sanction,3,Europe,149,11.26
E000054,2020-06-05 00:00:00,Terrorism,6,Europe,57,25.02
E000055,2018-02-22 00:00:00,Diplomatic Crisis,6,South America,320,18.01
E000056,2025-07-21 00:00:00,War,6,North America,107,18.52
E000057,2015-01-05 00:00:00,Maritime Conflict,7,North America,202,19.44
E000058,2026-05-05 00:00:00,Export Restriction,3,Africa,317,7.59
E000059,2016-09-27 00:00:00,Port Strike,10,Asia,164,35.95
E000060,2025-01-23 00:00:00,Cyber Attack,10,Europe,352,58.51
E000061,2022-10-09 00:00:00,Diplomatic Crisis,9,Europe,135,23.63
E000062,2022-10-20 00:00:00,Terrorism,6,North America,54,18.72
E000063,2024-02-26 00:00:00,Cyber Attack,7,South America,198,34.44
E000064,2023-08-14 00:00:00,Port Strike,10,North America,150,24.81
E000065,2024-03-10 00:00:00,War,5,South America,53,27.11
E000066,2023-05-18 00:00:00,Diplomatic Crisis,5,Europe,210,19.83
E000067,2019-06-24 00:00:00,Cyber Attack,1,Europe,260,4.46
E000068,2022-10-20 00:00:00,Diplomatic Crisis,4,Europe,229,22.93
E000069,2019-06-20 00:00:00,Political Unrest,1,Europe,331,2.11
E000070,2017-06-14 00:00:00,Trade Sanction,4,Middle East,158,18.29
E000071,2025-12-14 00:00:00,Port Strike,3,Asia,107,17.53
E000072,2025-09-18 00:00:00,Port Strike,2,Europe,259,9.46
E000073,2022-12-06 00:00:00,Diplomatic Crisis,10,Europe,270,20.93
E000074,2016-02-22 00:00:00,Border Conflict,3,Africa,111,14.31
E000075,2019-02-25 00:00:00,Cyber Attack,8,North America,223,25.03
E000076,2024-06-27 00:00:00,Port Strike,5,Asia,198,24.63
E000077,2019-04-21 00:00:00,Export Restriction,2,South America,102,8.49
E000078,2025-07-18 00:00:00,Border Conflict,1,Asia,189,2.95
E000079,2025-10-27 00:00:00,Maritime Conflict,4,North America,223,22.33
E000080,2016-01-31 00:00:00,Terrorism,9,Africa,82,52.2
E000081,2024-10-17 00:00:00,Port Strike,5,Africa,75,16.57
E000082,2023-01-17 00:00:00,Border Conflict,5,Asia,59,12.27
E000083,2023-03-02 00:00:00,Port Strike,10,North America,139,34.04
E000084,2017-08-11 00:00:00,Maritime Conflict,1,South America,259,4.8
E000085,2023-03-13 00:00:00,Cyber Attack,10,North America,200,23.39
E000086,2021-07-14 00:00:00,Maritime Conflict,8,Africa,327,23.57
E000087,2026-10-22 00:00:00,Maritime Conflict,4,Africa,298,9.34
E000088,2023-01-02 00:00:00,Diplomatic Crisis,6,Europe,173,19.93
E000089,2024-08-23 00:00:00,Diplomatic Crisis,2,Africa,226,4.95
E000090,2017-06-13 00:00:00,Port Strike,9,North America,7,26.55
E000091,2016-05-19 00:00:00,War,1,South America,318,3.75
E000092,2020-10-06 00:00:00,Maritime Conflict,5,North America,86,29.86
E000093,2018-06-04 00:00:00,Terrorism,3,Europe,26,7.99
E000094,2024-03-30 00:00:00,Maritime Conflict,1,Middle East,60,5.6
E000095,2018-09-15 00:00:00,Export Restriction,8,Africa,364,26.74
E000096,2018-02-19 00:00:00,Export Restriction,4,Europe,96,11.67
E000097,2016-06-23 00:00:00,Political Unrest,5,Middle East,47,23.96
E000098,2021-11-13 00:00:00,Maritime Conflict,3,Europe,259,11.0
E000099,2020-01-13 00:00:00,Export Restriction,9,South America,16,49.18
E000100,2017-10-12 00:00:00,Trade Sanction,1,Asia,71,3.51
E000101,2026-05-21 00:00:00,War,9,North America,348,20.29
E000102,2020-11-22 00:00:00,Maritime Conflict,3,Africa,317,15.75
E000103,2019-07-27 00:00:00,Cyber Attack,6,North America,265,29.43
E000104,2026-06-10 00:00:00,Terrorism,1,South America,91,3.01
E000105,2016-12-17 00:00:00,Trade Sanction,4,Africa,294,12.3
E000106,2019-04-24 00:00:00,Trade Sanction,10,South America,256,50.89
E000107,2025-11-06 00:00:00,War,2,South America,274,11.74
E000108,2023-04-26 00:00:00,Border Conflict,9,North America,118,40.33
E000109,2020-10-23 00:00:00,Maritime Conflict,3,Africa,109,17.77
E000110,2018-08-22 00:00:00,Port Strike,2,Europe,344,6.79
E000111,2026-09-01 00:00:00,Border Conflict,1,Europe,341,5.45
E000112,2020-12-20 00:00:00,Export Restriction,4,Asia,144,15.87
E000113,2024-10-19 00:00:00,Trade Sanction,4,South America,75,15.88
E000114,2026-10-10 00:00:00,Terrorism,3,Middle East,117,7.67
E000115,2017-06-18 00:00:00,Terrorism,8,Middle East,190,43.98
E000116,2016-10-28 00:00:00,Diplomatic Crisis,2,Middle East,67,4.33
E000117,2025-09-05 00:00:00,War,6,North America,332,23.06
E000118,2021-07-21 00:00:00,Diplomatic Crisis,2,North America,84,6.57
E000119,2021-04-15 00:00:00,Export Restriction,9,South America,220,23.65
E000120,2026-05-06 00:00:00,Political Unrest,1,Asia,32,2.34
E000121,2018-06-30 00:00:00,Export Restriction,4,South America,213,11.78
E000122,2026-04-16 00:00:00,Export Restriction,7,Europe,84,34.93
E000123,2019-07-05 00:00:00,Trade Sanction,7,Europe,244,23.92
E000124,2020-03-21 00:00:00,Cyber Attack,9,Africa,125,18.72
E000125,2020-05-30 00:00:00,Maritime Conflict,1,Europe,237,4.14
E000126,2024-11-05 00:00:00,Political Unrest,4,Europe,31,20.63
E000127,2020-11-26 00:00:00,Political Unrest,2,South America,117,8.69
E000128,2025-12-21 00:00:00,Port Strike,1,Europe,242,3.14
E000129,2022-07-02 00:00:00,Trade Sanction,10,Middle East,326,34.24
E000130,2017-05-26 00:00:00,Terrorism,6,Asia,235,12.18
E000131,2021-05-13 00:00:00,Border Conflict,6,Africa,76,32.42
E000132,2024-08-18 00:00:00,Terrorism,8,Middle East,317,32.78
E000133,2017-11-29 00:00:00,Export Restriction,5,South America,42,17.96
E000134,2026-06-02 00:00:00,Maritime Conflict,4,South America,341,12.13
E000135,2021-12-26 00:00:00,Terrorism,6,Europe,68,25.36
E000136,2018-02-15 00:00:00,Political Unrest,4,Asia,281,19.78
E000137,2020-08-10 00:00:00,Maritime Conflict,10,North America,148,40.24
E000138,2020-07-19 00:00:00,Maritime Conflict,3,Europe,167,11.45
E000139,2015-09-18 00:00:00,Trade Sanction,7,North America,144,33.17
E000140,2019-06-08 00:00:00,Cyber Attack,1,Asia,325,5.04
E000141,2020-06-17 00:00:00,Border Conflict,8,Middle East,44,27.16
E000142,2019-05-24 00:00:00,Cyber Attack,2,Middle East,340,11.51
E000143,2022-03-20 00:00:00,War,3,South America,41,6.58
E000144,2025-07-17 00:00:00,Port Strike,9,North America,235,24.71
E000145,2022-12-08 00:00:00,Political Unrest,10,Asia,68,55.09
E000146,2020-11-06 00:00:00,Export Restriction,2,South America,302,11.2
E000147,2020-12-30 00:00:00,War,1,Asia,159,3.57
E000148,2026-01-16 00:00:00,Export Restriction,5,Middle East,110,20.86
E000149,2015-07-17 00:00:00,Border Conflict,6,Middle East,73,20.04
E000150,2020-07-28 00:00:00,Maritime Conflict,7,Asia,163,22.73
E000151,2017-08-08 00:00:00,Political Unrest,1,South America,260,4.86
E000152,2020-02-09 00:00:00,Maritime Conflict,1,North America,124,2.44
E000153,2023-11-03 00:00:00,Political Unrest,8,Africa,267,40.7
E000154,2015-04-05 00:00:00,Political Unrest,3,Africa,249,14.59
E000155,2020-10-17 00:00:00,Diplomatic Crisis,4,South America,17,11.64
E000156,2017-03-25 00:00:00,Diplomatic Crisis,10,North America,308,25.56
E000157,2023-12-26 00:00:00,Export Restriction,9,Africa,117,39.35
E000158,2023-01-14 00:00:00,Diplomatic Crisis,5,Asia,334,21.53
E000159,2024-06-11 00:00:00,Export Restriction,9,Asia,57,51.32
E000160,2019-11-28 00:00:00,Political Unrest,5,South America,352,26.75
E000161,2023-05-31 00:00:00,Port Strike,6,North America,61,21.1
E000162,2018-08-25 00:00:00,Political Unrest,9,Asia,208,18.17
E000163,2016-07-28 00:00:00,Diplomatic Crisis,4,Middle East,31,22.77
E000164,2023-12-26 00:00:00,War,2,Middle East,353,4.26
E000165,2018-04-20 00:00:00,Border Conflict,8,Africa,31,29.41
E000166,2026-12-29 00:00:00,Trade Sanction,6,North America,160,24.36
E000167,2024-05-25 00:00:00,Maritime Conflict,1,South America,154,2.34
E000168,2019-09-21 00:00:00,Border Conflict,8,Asia,55,25.92
E000169,2017-09-16 00:00:00,War,7,North America,217,24.58
E000170,2024-07-27 00:00:00,War,3,South America,24,14.57
E000171,2023-05-16 00:00:00,Trade Sanction,2,South America,119,8.48
E000172,2024-02-18 00:00:00,Diplomatic Crisis,7,Europe,137,39.13
E000173,2024-06-13 00:00:00,Border Conflict,1,Africa,93,5.36
E000174,2024-06-24 00:00:00,Terrorism,8,Middle East,327,23.39
E000175,2021-10-26 00:00:00,Terrorism,8,North America,60,21.71
E000176,2025-01-23 00:00:00,Export Restriction,8,South America,297,35.3
E000177,2021-12-13 00:00:00,Maritime Conflict,4,North America,171,14.5
E000178,2017-04-02 00:00:00,Diplomatic Crisis,2,Asia,13,5.66
E000179,2026-08-13 00:00:00,Trade Sanction,3,Europe,42,16.93
E000180,2024-11-03 00:00:00,Border Conflict,10,Africa,201,53.23
E000181,2017-03-15 00:00:00,Terrorism,6,Europe,262,32.67
E000182,2024-10-17 00:00:00,War,6,Europe,286,25.58
E000183,2020-10-07 00:00:00,War,7,Europe,134,14.63
E000184,2022-01-17 00:00:00,Trade Sanction,9,North America,46,32.49
E000185,2018-07-25 00:00:00,Diplomatic Crisis,4,North America,160,10.75
E000186,2025-05-26 00:00:00,Maritime Conflict,5,Europe,81,20.59
E000187,2020-09-20 00:00:00,Maritime Conflict,4,Europe,47,16.87
E000188,2019-06-11 00:00:00,Cyber Attack,5,Middle East,348,28.0
E000189,2016-10-07 00:00:00,Terrorism,8,North America,104,21.61
E000190,2019-09-05 00:00:00,Diplomatic Crisis,1,South America,196,2.19
E000191,2023-05-26 00:00:00,Port Strike,6,North America,199,26.48
E000192,2026-04-17 00:00:00,Export Restriction,5,Middle East,273,17.11
E000193,2018-02-10 00:00:00,Port Strike,7,South America,238,27.33
E000194,2022-06-04 00:00:00,Export Restriction,6,Asia,75,18.48
E000195,2017-01-20 00:00:00,Political Unrest,4,Middle East,233,21.54
E000196,2016-04-26 00:00:00,Trade Sanction,9,North America,160,30.4
E000197,2021-06-01 00:00:00,Terrorism,1,North America,135,4.75
E000198,2026-04-13 00:00:00,Port Strike,7,Europe,297,36.38
E000199,2015-06-21 00:00:00,Trade Sanction,3,Africa,108,10.33
E000200,2023-07-13 00:00:00,Diplomatic Crisis,1,Asia,23,3.78
E000201,2026-03-31 00:00:00,Export Restriction,8,North America,345,40.29
E000202,2021-08-18 00:00:00,Terrorism,6,Europe,206,23.75
E000203,2025-03-15 00:00:00,Diplomatic Crisis,10,Asia,32,27.22
E000204,2023-08-24 00:00:00,Cyber Attack,10,Asia,276,27.7
E000205,2019-03-02 00:00:00,Political Unrest,7,Middle East,88,22.93
E000206,2024-10-01 00:00:00,Export Restriction,7,Middle East,279,29.7
E000207,2015-05-11 00:00:00,Export Restriction,5,Europe,177,24.5
E000208,2015-02-08 00:00:00,Maritime Conflict,8,Asia,10,39.61
E000209,2026-04-04 00:00:00,Trade Sanction,10,Middle East,114,54.8
E000210,2021-09-27 00:00:00,Trade Sanction,7,Middle East,275,15.96
E000211,2017-03-24 00:00:00,War,4,North America,35,8.6
E000212,2015-09-29 00:00:00,Terrorism,8,Europe,242,18.93
E000213,2024-05-23 00:00:00,War,4,Middle East,71,15.48
E000214,2016-01-11 00:00:00,Trade Sanction,2,South America,330,8.71
E000215,2016-03-07 00:00:00,War,1,Asia,79,4.72
E000216,2021-02-12 00:00:00,Cyber Attack,10,Middle East,299,43.54
E000217,2017-03-17 00:00:00,Export Restriction,8,Middle East,325,44.92
E000218,2017-06-03 00:00:00,Trade Sanction,3,Asia,336,8.65
E000219,2022-09-01 00:00:00,Export Restriction,10,South America,265,52.03
E000220,2015-02-23 00:00:00,Terrorism,7,Middle East,183,30.72
E000221,2019-05-16 00:00:00,Trade Sanction,10,South America,184,59.85
E000222,2015-01-03 00:00:00,Export Restriction,3,North America,275,12.44
E000223,2021-07-04 00:00:00,Trade Sanction,4,Middle East,363,22.04
E000224,2022-05-06 00:00:00,Terrorism,9,Europe,201,49.04
E000225,2026-04-28 00:00:00,Trade Sanction,9,Africa,267,31.42
E000226,2025-11-16 00:00:00,Cyber Attack,10,North America,43,54.05
E000227,2023-07-09 00:00:00,Port Strike,3,Europe,192,12.53
E000228,2020-06-19 00:00:00,Export Restriction,1,Middle East,268,5.47
E000229,2020-11-09 00:00:00,Terrorism,1,North America,65,5.35
E000230,2019-09-13 00:00:00,Maritime Conflict,10,Africa,362,26.34
E000231,2016-07-10 00:00:00,Port Strike,10,Europe,255,25.15
E000232,2024-08-09 00:00:00,Political Unrest,7,Europe,88,37.3
E000233,2020-07-05 00:00:00,War,7,Asia,230,31.69
E000234,2017-10-04 00:00:00,Terrorism,6,Europe,80,20.2
E000235,2016-07-25 00:00:00,Political Unrest,5,Africa,284,23.76
E000236,2018-06-19 00:00:00,War,4,Africa,225,9.08
E000237,2017-06-04 00:00:00,Diplomatic Crisis,1,Middle East,28,5.41
E000238,2016-11-17 00:00:00,Port Strike,4,Africa,257,20.13
E000239,2015-01-29 00:00:00,Port Strike,1,Middle East,140,4.73
E000240,2024-11-18 00:00:00,Political Unrest,2,Asia,232,4.82
E000241,2015-02-08 00:00:00,Political Unrest,7,Europe,291,35.64
E000242,2023-08-22 00:00:00,Port Strike,6,Asia,33,35.12
E000243,2024-08-12 00:00:00,Cyber Attack,5,Middle East,309,29.29
E000244,2019-08-10 00:00:00,Diplomatic Crisis,9,Africa,263,44.08
E000245,2023-11-08 00:00:00,War,3,Asia,326,14.58
E000246,2019-12-15 00:00:00,Terrorism,8,Asia,66,18.92
E000247,2016-06-03 00:00:00,Port Strike,2,North America,205,5.05
E000248,2016-11-23 00:00:00,Diplomatic Crisis,8,Middle East,322,21.93
E000249,2016-06-10 00:00:00,Border Conflict,9,Asia,228,39.86
E000250,2020-02-19 00:00:00,Maritime Conflict,4,Asia,15,10.57
E000251,2015-04-27 00:00:00,Export Restriction,2,Middle East,350,11.87
E000252,2022-07-31 00:00:00,Trade Sanction,8,South America,283,28.56
E000253,2018-10-21 00:00:00,Terrorism,6,Asia,38,34.86
E000254,2024-07-28 00:00:00,Maritime Conflict,8,Middle East,273,19.36
E000255,2021-09-14 00:00:00,Maritime Conflict,9,South America,52,25.57
E000256,2022-06-13 00:00:00,War,10,Europe,248,41.37
E000257,2026-01-27 00:00:00,Political Unrest,1,Europe,83,3.59
E000258,2021-02-19 00:00:00,Diplomatic Crisis,6,Europe,96,31.71
E000259,2015-04-16 00:00:00,Export Restriction,7,Middle East,311,17.48
E000260,2016-09-26 00:00:00,Maritime Conflict,6,Asia,15,13.25
E000261,2018-12-10 00:00:00,Export Restriction,9,Europe,210,40.51
E000262,2018-01-12 00:00:00,Political Unrest,7,South America,90,36.88
E000263,2016-02-14 00:00:00,Terrorism,3,Africa,133,14.78
E000264,2020-11-04 00:00:00,Port Strike,9,Europe,307,29.84
E000265,2017-01-19 00:00:00,Export Restriction,4,North America,179,20.64
E000266,2021-05-24 00:00:00,Trade Sanction,3,South America,306,14.63
E000267,2016-10-23 00:00:00,Export Restriction,5,Asia,358,19.87
E000268,2023-02-19 00:00:00,Port Strike,10,North America,249,22.89
E000269,2015-12-19 00:00:00,War,7,South America,338,40.9
E000270,2020-05-31 00:00:00,Political Unrest,8,Africa,299,27.87
E000271,2017-08-13 00:00:00,War,8,Middle East,56,34.52
E000272,2018-06-27 00:00:00,Political Unrest,5,Europe,360,21.95
E000273,2023-02-27 00:00:00,Diplomatic Crisis,6,Middle East,301,26.22
E000274,2018-06-23 00:00:00,Trade Sanction,3,North America,243,14.8
E000275,2022-12-24 00:00:00,Political Unrest,10,South America,14,27.19
E000276,2017-07-28 00:00:00,Cyber Attack,2,South America,299,7.94
E000277,2021-06-23 00:00:00,Export Restriction,6,Asia,322,27.9
E000278,2025-06-11 00:00:00,Terrorism,6,Asia,151,21.58
E000279,2018-06-06 00:00:00,Border Conflict,5,Middle East,170,27.67
E000280,2016-09-21 00:00:00,Diplomatic Crisis,10,Africa,99,53.16
E000281,2018-07-04 00:00:00,Export Restriction,5,Middle East,282,28.97
E000282,2021-06-18 00:00:00,Terrorism,6,Middle East,290,29.67
E000283,2021-01-21 00:00:00,Export Restriction,1,Africa,126,5.46
E000284,2020-04-09 00:00:00,Trade Sanction,4,Asia,340,16.5
E000285,2017-11-09 00:00:00,War,10,Middle East,291,38.09
E000286,2025-06-25 00:00:00,War,5,Middle East,167,10.83
E000287,2015-10-03 00:00:00,Export Restriction,5,Middle East,248,10.1
E000288,2026-02-17 00:00:00,Terrorism,9,Middle East,312,35.6
E000289,2025-09-28 00:00:00,Political Unrest,7,Europe,132,19.65
E000290,2020-07-26 00:00:00,Border Conflict,5,North America,135,18.88
E000291,2019-02-27 00:00:00,Trade Sanction,6,Asia,181,32.11
E000292,2021-10-10 00:00:00,Trade Sanction,10,Asia,120,53.24
E000293,2015-10-30 00:00:00,Export Restriction,8,Asia,82,38.06
E000294,2023-05-31 00:00:00,Cyber Attack,3,North America,293,12.93
E000295,2024-01-05 00:00:00,Maritime Conflict,2,Asia,198,10.93
E000296,2022-03-17 00:00:00,Terrorism,5,Middle East,83,27.57
E000297,2023-09-09 00:00:00,Port Strike,4,South America,108,22.42
E000298,2017-09-27 00:00:00,War,7,South America,345,29.25
E000299,2019-06-13 00:00:00,War,5,Africa,149,22.2
E000300,2020-12-30 00:00:00,Terrorism,5,Asia,322,14.75
E000301,2024-10-08 00:00:00,Diplomatic Crisis,3,Middle East,108,13.24
E000302,2022-11-29 00:00:00,Port Strike,2,North America,271,10.91
E000303,2022-11-03 00:00:00,Diplomatic Crisis,2,Asia,123,7.04
E000304,2024-03-18 00:00:00,Border Conflict,4,South America,277,19.95
E000305,2021-08-08 00:00:00,Border Conflict,5,North America,113,27.96
E000306,2016-12-15 00:00:00,Political Unrest,3,North America,277,11.75
E000307,2017-08-21 00:00:00,Port Strike,5,Europe,58,22.21
E000308,2019-08-09 00:00:00,Political Unrest,2,Europe,83,4.98
E000309,2024-08-31 00:00:00,Diplomatic Crisis,7,North America,357,19.17
E000310,2021-06-17 00:00:00,Export Restriction,1,Africa,304,3.7
E000311,2025-11-01 00:00:00,War,7,Africa,316,15.22
E000312,2023-01-17 00:00:00,Cyber Attack,7,South America,124,30.62
E000313,2023-06-25 00:00:00,Diplomatic Crisis,9,Europe,277,30.99
E000314,2022-03-16 00:00:00,War,8,Europe,214,24.18
E000315,2026-05-08 00:00:00,Political Unrest,8,Africa,25,37.49
E000316,2015-05-26 00:00:00,Diplomatic Crisis,3,Asia,170,11.09
E000317,2019-05-04 00:00:00,Trade Sanction,3,Asia,114,8.6
E000318,2016-10-23 00:00:00,Port Strike,5,Africa,149,14.12
E000319,2019-03-27 00:00:00,Terrorism,10,South America,84,25.67
E000320,2018-09-05 00:00:00,Cyber Attack,3,Europe,269,10.85
E000321,2025-12-22 00:00:00,Port Strike,1,Africa,286,4.9
E000322,2022-02-14 00:00:00,Political Unrest,7,North America,115,39.04
E000323,2015-03-14 00:00:00,Maritime Conflict,8,Asia,359,35.75
E000324,2019-12-10 00:00:00,Trade Sanction,1,Africa,322,5.2
E000325,2024-11-19 00:00:00,Maritime Conflict,5,Europe,270,23.6
E000326,2021-08-25 00:00:00,Maritime Conflict,10,South America,265,22.09
E000327,2022-09-18 00:00:00,Port Strike,6,Europe,215,22.71
E000328,2026-07-13 00:00:00,Diplomatic Crisis,8,Africa,156,46.77
E000329,2021-05-23 00:00:00,Diplomatic Crisis,9,South America,317,33.22
E000330,2020-10-03 00:00:00,Political Unrest,1,Middle East,142,5.71
E000331,2015-08-25 00:00:00,Port Strike,7,South America,354,41.79
E000332,2025-10-18 00:00:00,Terrorism,8,South America,327,32.67
E000333,2026-01-20 00:00:00,War,6,North America,237,31.83
E000334,2019-03-04 00:00:00,Political Unrest,2,Asia,148,5.82
E000335,2019-05-21 00:00:00,Trade Sanction,9,Middle East,347,26.61
E000336,2021-11-01 00:00:00,Border Conflict,3,Europe,186,13.21
E000337,2015-09-19 00:00:00,Maritime Conflict,3,Africa,149,16.22
E000338,2026-03-31 00:00:00,Maritime Conflict,1,Europe,48,4.51
E000339,2023-11-04 00:00:00,Maritime Conflict,8,Middle East,164,41.28
E000340,2015-03-14 00:00:00,Trade Sanction,5,Middle East,169,23.9
E000341,2026-12-10 00:00:00,Maritime Conflict,9,Asia,287,51.22
E000342,2018-02-07 00:00:00,Political Unrest,6,Middle East,244,34.87
E000343,2017-11-14 00:00:00,Political Unrest,5,North America,31,20.99
E000344,2026-07-25 00:00:00,Maritime Conflict,4,North America,152,8.28
E000345,2023-10-07 00:00:00,Port Strike,7,North America,293,35.86
E000346,2025-07-17 00:00:00,Export Restriction,2,Asia,259,7.44
E000347,2025-11-20 00:00:00,Terrorism,3,Africa,155,9.64
E000348,2017-06-01 00:00:00,War,7,Africa,86,31.73
E000349,2020-11-18 00:00:00,Political Unrest,7,Africa,314,28.76
E000350,2024-01-16 00:00:00,Cyber Attack,2,Africa,69,7.24
E000351,2017-02-06 00:00:00,Maritime Conflict,3,South America,13,8.12
E000352,2022-03-30 00:00:00,Trade Sanction,5,South America,189,19.63
E000353,2021-04-12 00:00:00,Cyber Attack,6,Europe,85,28.34
E000354,2017-06-19 00:00:00,Cyber Attack,1,Europe,19,2.96
E000355,2021-07-13 00:00:00,Political Unrest,5,Asia,179,12.19
E000356,2021-09-08 00:00:00,Border Conflict,5,North America,314,19.76
E000357,2016-06-29 00:00:00,Trade Sanction,4,Middle East,118,14.01
E000358,2018-12-30 00:00:00,Cyber Attack,6,Europe,48,33.41
E000359,2026-07-02 00:00:00,Terrorism,1,Asia,126,4.75
E000360,2016-07-25 00:00:00,Trade Sanction,1,Europe,16,3.01
E000361,2021-03-29 00:00:00,Border Conflict,5,Europe,290,17.73
E000362,2021-02-25 00:00:00,War,1,Africa,85,3.8
E000363,2020-11-18 00:00:00,Export Restriction,8,Asia,339,39.88
E000364,2024-06-18 00:00:00,War,3,North America,158,12.1
E000365,2026-11-06 00:00:00,Political Unrest,10,Middle East,234,46.45
E000366,2016-07-16 00:00:00,Cyber Attack,10,South America,267,53.22
E000367,2022-01-11 00:00:00,War,10,Asia,44,59.04
E000368,2023-03-13 00:00:00,Political Unrest,3,South America,55,9.13
E000369,2019-06-29 00:00:00,Diplomatic Crisis,9,South America,223,50.25
E000370,2021-01-05 00:00:00,Export Restriction,4,Europe,146,17.63
E000371,2019-09-13 00:00:00,Diplomatic Crisis,2,Asia,17,11.42
E000372,2021-02-08 00:00:00,Export Restriction,9,Middle East,159,37.8
E000373,2025-02-14 00:00:00,Port Strike,6,South America,219,12.31
E000374,2025-12-02 00:00:00,Border Conflict,3,Asia,128,9.1
E000375,2023-03-10 00:00:00,Cyber Attack,2,South America,155,10.74
E000376,2016-10-08 00:00:00,Maritime Conflict,7,South America,242,41.57
E000377,2022-01-25 00:00:00,Cyber Attack,2,Africa,264,10.54
E000378,2025-01-26 00:00:00,Maritime Conflict,3,Middle East,94,15.1
E000379,2018-10-08 00:00:00,Maritime Conflict,8,Middle East,9,20.85
E000380,2018-07-28 00:00:00,Export Restriction,5,Europe,117,21.16
E000381,2018-07-08 00:00:00,Port Strike,3,Europe,110,13.89
E000382,2021-11-25 00:00:00,Border Conflict,10,Middle East,308,27.52
E000383,2020-11-29 00:00:00,Diplomatic Crisis,9,Europe,92,48.24
E000384,2023-06-11 00:00:00,Terrorism,1,Europe,20,5.03
E000385,2022-03-19 00:00:00,Border Conflict,3,South America,229,16.52
E000386,2018-01-29 00:00:00,Political Unrest,10,Africa,138,51.22
E000387,2017-10-10 00:00:00,Cyber Attack,3,South America,160,10.95
